店铺图标,店铺名字,地区,主营类目,在售商品数,店铺评分,销量,销量环比（百分比）,关联达人数量,店铺类型
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/ab4ef42c-3884-47d9-8f90-2a9982bbe222.jpeg,INSE Vacuum Shop,美国,"家电,宠物用品,美妆个护",14,4.6,837,1.21,16619,本土店
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/d86d5fbe-343c-4a0d-88b8-0e9e2aa6ad3c.jpeg,Vacuum Cup Thing,美国,厨房用品,6,4.6,18,200,1025,跨境店
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/fdca5b80-eea8-404d-be96-f28464d7f378.jpeg,TASVAC Pool Vacuum,美国,"家电,家装建材",8,3.7,11,120,208,跨境店
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/9112411f-ed09-4fe4-a94a-17e522d0b76f.webp,Vacuum store,美国,家电,4,3.9,9,28.57,289,本土店
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/d4d0aade-eb65-4f3a-962f-c5681fcc029e.jpeg,Vacuum Innovation,美国,家电,10,4.4,1,0,2947,跨境店
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/c7b7bc0a-2cd2-4b7d-8e13-8353227bfaa8.jpeg,Homeika-Dog Grooming Vacuum,美国,家电,0,4.1,0,,10060,本土店
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/92ea2413-30c5-4ea4-89d9-4297dc055926.jpeg,Vortex Vacuum,美国,家电,0,,0,,8,本土店
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/85de5f4e-e226-4f50-bf72-48e91a64f4eb.jpeg,Vacuum Sealed,美国,"时尚配饰,男装与男士内衣,运动与户外,家电",1,,0,,1,本土店
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/8a9a6f61-0aec-4e12-91ef-13524182f033.jpeg,VacLife-Handheld Vacuum,美国,家电,1,4.5,0,,406,跨境店
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/929829c4-ee45-4266-b5a1-bbb400005428.jpeg,maishen Vacuum,美国,家电,2,4.5,0,,35,本土店
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/9504eacf-3dfd-49ba-aeb7-afa720c395b4.jpeg,Super useful vacuum cleaner,美国,家电,0,,0,,1,本土店
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/758c0e72-4a9a-483a-9c77-17bbf9972d8a.jpeg,VEAVON Vacuum Cleaner,美国,家电,0,4.8,0,,2,跨境店
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/6a9d160d-3ae2-48d9-9515-7ea4111fa07d.jpeg,Vacuum cleaner factory store,美国,家电,1,,0,,2,跨境店
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/5d79bf59-33b1-4b39-8c16-9165ae04265f.jpeg,Vacuum Cleaner Specialty shop,美国,"家装建材,家电",0,3.7,0,,41,本土店
http://microdata-static-hk.oss-cn-hongkong.aliyuncs.com/pro-api/tt/image/00aa80bc-7721-4e14-abc7-41eccda25f8e.webp,Commercial Vacuum,美国,,0,,0,,6,本土店